S_Yr S_Mon S_Day S_Hr S_Min S_Sec E_Yr E_Mon E_Day E_Hr E_Min E_Sec Type Inst
2011 07 13 02 08 33.0  2011 07 13 02 13 37.0  BSI m 
2011 07 13 13 52 55.0  2011 07 13 13 56 17.0  BSI m 
2011 07 14 01 33  2.0  2011 07 14 01 47 51.0  BSI m 
2011 07 14 13 30 42.0  2011 07 14 13 33 46.0  BSI m 
2011 07 15 01 21 33.0  2011 07 15 01 23 31.0  BSI m 
2011 07 15 13 06 11.0  2011 07 15 13 06 29.0  BSI m 
2011 07 16 00 49  9.0  2011 07 16 00 56  6.0  BSI m 
2011 07 16 12 39 17.0  2011 07 16 12 43  2.0  BSI m 
2011 07 17 00 21  2.0  2011 07 17 00 25 44.0  BSI m 
2011 07 17 12 10 33.0  2011 07 17 12 19 17.0  BSI m 
2011 07 17 23 59 23.0  2011 07 17 23 59 23.0  BSI s 
2011 07 18 11 47 40.0  2011 07 18 11 50 48.0  BSI m 
2011 07 18 23 28 52.0  2011 07 18 23 33 15.0  BSI m 
2011 07 19 11 23 48.0  2011 07 19 11 27 33.0  BSI m 
2011 07 19 23 07 30.0  2011 07 19 23 10 21.0  BSI m 
2011 07 20 10 49 59.0  2011 07 20 10 58 41.0  BSI m 
2011 07 20 22 43 13.0  2011 07 20 22 43 13.0  BSI s 
2011 07 21 10 32 48.0  2011 07 21 10 32 48.0  BSI s 
2011 07 21 22 20 58.0  2011 07 21 22 20 58.0  BSI s 
2011 07 22 10 08  2.0  2011 07 22 10 08 48.0  BSI m 
2011 07 22 21 57 21.0  2011 07 22 21 58 33.0  BSI m 
2011 07 23 09 48  6.0  2011 07 23 09 48  6.0  BSI s 
2011 07 23 21 30 32.0  2011 07 23 21 33  8.0  BSI m 
2011 07 24 09 09 56.0  2011 07 24 09 12  3.0  BSI m 
2011 07 24 21 03 29.0  2011 07 24 21 09 15.0  BSI m 
2011 07 25 08 55 20.0  2011 07 25 08 55 20.0  BSI s 
2011 07 25 20 36 40.0  2011 07 25 20 40 13.0  BSI m 
2011 07 26 08 23 33.0  2011 07 26 08 32 11.0  BSI m 
2011 07 26 19 58  9.0  2011 07 26 20 05 42.0  BSI m 
2011 07 27 07 49 56.0  2011 07 27 08 05 34.0  BSI m 
2011 07 27 20 06 39.0  2011 07 27 20 17 53.0  BSI m 
2011 07 28 08 09 19.0  2011 07 28 08 09 19.0  BSI s 
2011 07 28 19 56 58.0  2011 07 28 20 06 11.0  BSI m 
2011 07 29 07 54 40.0  2011 07 29 07 55 59.0  BSI m 
2011 07 29 19 53 38.0  2011 07 29 19 54 49.0  BSI m 
2011 07 30 08 00  4.0  2011 07 30 08 09 59.0  BSI m 
2011 07 30 20 02 35.0  2011 07 30 20 03 49.0  BSI m 
2011 07 31 07 50 33.0  2011 07 31 07 58 17.0  BSI m 
2011 07 31 19 39 10.0  2011 07 31 19 42 39.0  BSI m 
2011 08 01 07 41 27.0  2011 08 01 07 53 31.0  BSI m 
2011 08 01 19 18 55.0  2011 08 01 19 26 30.0  BSI m 
2011 08 02 07 21 15.0  2011 08 02 07 40  5.0  BSI m 
2011 08 02 19 59 46.0  2011 08 02 20 03  8.0  BSI m 
2011 08 03 07 49 19.0  2011 08 03 08 00  2.0  BSI m 
2011 08 03 19 36 55.0  2011 08 03 19 44 12.0  BSI m 
2011 08 04 07 37 11.0  2011 08 04 08 06 48.0  BSI m 
2011 08 04 19 24 23.0  2011 08 04 19 42 30.0  BSI m 
2011 08 05 07 08 53.0  2011 08 05 07 29 21.0  BSI m 
2011 08 05 19 23  5.0  2011 08 05 19 26 35.0  BSI m 
2011 08 06 07 23 20.0  2011 08 06 07 26  3.0  BSI m 
2011 08 06 19 02  7.0  2011 08 06 19 26 21.0  BSI m 
2011 08 07 06 59  5.0  2011 08 07 07 12 56.0  BSI m 
2011 08 07 18 40 24.0  2011 08 07 19 05  2.0  BSI m 
2011 08 08 06 01 28.0  2011 08 08 06 21 14.0  BSI m 
2011 08 08 17 54 28.0  2011 08 08 18 28 32.0  BSI m 
2011 08 09 06 56 17.0  2011 08 09 06 59 40.0  BSI m 
2011 08 09 18 29  5.0  2011 08 09 18 39  6.0  BSI m 
2011 08 10 06 26 43.0  2011 08 10 06 46 12.0  BSI m 
2011 08 10 18 30 41.0  2011 08 10 18 37 49.0  BSI m 
2011 08 11 06 38  9.0  2011 08 11 07 12 42.0  BSI m 
2011 08 11 18 28  8.0  2011 08 11 18 54 12.0  BSI m 
2011 08 12 06 11 25.0  2011 08 12 06 30 13.0  BSI m 
2011 08 12 17 45 40.0  2011 08 12 18 13 14.0  BSI m 
2011 08 13 06 20 10.0  2011 08 13 06 25 26.0  BSI m 
2011 08 13 18 39 53.0  2011 08 13 18 53 43.0  BSI m 
2011 08 14 05 28 18.0  2011 08 14 05 40 28.0  BSI m 
2011 08 14 17 19 27.0  2011 08 14 17 35 53.0  BSI m 
2011 08 15 05 11 41.0  2011 08 15 05 33 48.0  BSI m 
2011 08 15 16 56 10.0  2011 08 15 17 09  4.0  BSI m 
2011 08 16 05 29 20.0  2011 08 16 05 40 29.0  BSI m 
2011 08 16 17 05 23.0  2011 08 16 17 18 44.0  BSI m 
2011 08 17 04 42 16.0  2011 08 17 05 14 38.0  BSI m 
2011 08 17 16 56 19.0  2011 08 17 17 15 27.0  BSI m 
2011 08 18 04 42 22.0  2011 08 18 05 08 20.0  BSI m 
2011 08 18 16 43 47.0  2011 08 18 17 16  0.0  BSI m 
2011 08 19 05 03 24.0  2011 08 19 05 11 57.0  BSI m 
2011 08 19 16 16 14.0  2011 08 19 17 31 42.0  BSI m 
2011 08 20 04 12 16.0  2011 08 20 05 10  0.0  BSI m 
2011 08 20 16 23 47.0  2011 08 20 16 50 19.0  BSI m 
2011 08 21 03 22 28.0  2011 08 21 03 46 28.0  BSI m 
2011 08 21 15 52  0.0  2011 08 21 16 08 36.0  BSI m 
2011 08 22 03 44 16.0  2011 08 22 04 15  6.0  BSI m 
2011 08 22 16 22  1.0  2011 08 22 16 38 10.0  BSI m 
2011 08 23 04 20 51.0  2011 08 23 04 31 42.0  BSI m 
2011 08 23 16 09 53.0  2011 08 23 16 36  6.0  BSI m 
2011 08 24 04 29 30.0  2011 08 24 04 37 17.0  BSI m 
2011 08 24 15 46 44.0  2011 08 24 16 18 58.0  BSI m 
2011 08 25 03 50 46.0  2011 08 25 03 53 35.0  BSI m 
2011 08 25 15 59 19.0  2011 08 25 16 02 37.0  BSI m 
2011 08 26 04 13 13.0  2011 08 26 04 21 57.0  BSI m 
2011 08 26 16 22 31.0  2011 08 26 16 24 16.0  BSI m 
2011 08 27 04 25  1.0  2011 08 27 04 29  7.0  BSI m 
2011 08 27 15 48 14.0  2011 08 27 16 37 20.0  BSI m 
2011 08 28 03 59 17.0  2011 08 28 04 27 32.0  BSI m 
2011 08 28 16 43 10.0  2011 08 28 17 01  6.0  BSI m 
2011 08 29 04 47 14.0  2011 08 29 05 18  9.0  BSI m 
2011 08 29 17 03 26.0  2011 08 29 17 23 10.0  BSI m 
2011 08 30 04 45 49.0  2011 08 30 05 11 25.0  BSI m 
2011 08 30 16 54  4.0  2011 08 30 17 30 36.0  BSI m 
2011 08 31 05 19 25.0  2011 08 31 05 33 57.0  BSI m 
2011 08 31 17 03 38.0  2011 08 31 17 15  8.0  BSI m 
